name,brand,qualifier_data,qualifier_type,locality,street_name,distance,url,address_detail,geographic_county,postcode,administrative_boundary,telephone_number,feature_easting,feature_northing,pointx_classification_code,unique_reference_number,group_code,category_code,pointx_class_code,group,category,pointx_class
St James Road Care Home,,,,Exeter,St. James Road,18.5,,14,Devon,EX4 6PY,Exeter District,1392670160.0,292661.0,93396.0,5280373,103902004,05,28,0373,Education and health,Health practitioners and establishments,Nursing and residential care homes
Starbucks Coffee Co UK Ltd,Starbucks Coffee,,,Exeter,St. Davids,19.8,www.starbucks.co.uk,Admin Block St. Davids Railway Station,Devon,EX4 4NT,Exeter District,1392424099.0,291173.0,93310.3,1020013,47980757,01,02,0013,"Accommodation, eating and drinking",Eating and drinking,"Cafes, snack bars and tea rooms"
The Imperial,Wetherspoon,,,Exeter,New North Road,40.3,www.jdwetherspoon.co.uk,,Devon,EX4 4AH,Exeter District,1392434050.0,291426.0,93429.0,1020034,48057529,01,02,0034,"Accommodation, eating and drinking",Eating and drinking,"Pubs, bars and inns"
Spillers Chauffeur Hire Co,,,,Exeter,,10.7,www.spillers-chauffeurhire.co.uk,Lodge Hill,Devon,EX4 4AB,Exeter District,1392433560.0,291422.0,93870.0,2600113,54615385,02,60,0113,Commercial services,Hire services,Vehicle hire and rental
Westward Housing Group,Westward,,,Exeter,St. Sidwells Avenue,26.0,www.westwardhousing.org.uk,Bethany House,Devon,EX4 6QW,Exeter District,1392217311.0,292509.0,93362.3,2110191,54923822,02,11,0191,Commercial services,Property and development services,Estate and property management
Clobber Ltd,,,,Exeter,Isambard Parade,18.2,www.monmark.co.uk,5,Devon,EX4 4BX,Exeter District,1392274545.0,291209.0,93287.8,7420608,64384198,07,42,0608,Manufacturing and production,Industrial products,"Textiles, fabrics, silk and machinery"
Exeter Carpet Company,,,,Exeter,Old Tiverton Road,18.4,www.exetercarpet.co.uk,92a,Devon,EX4 6LQ,Exeter District,1392493084.0,292936.0,93502.0,9480675,68778507,09,48,0675,Retail,"Household, office, leisure and garden","Carpets, rugs, soft furnishings and"
Exeter City Community Trust,,,,Exeter,Stadium Way,30.4,www.exetercityfitc.co.uk,St. James Park,Devon,EX4 6PX,Exeter District,1392255611.0,292768.0,93380.0,5320400,68785447,05,32,0400,Education and health,Recreational and vocational education,Sports and fitness coaching
C & D Appliances,,,,Exeter,Old Tiverton Road,7.7,www.cdappliances.com,123,Devon,EX4 6LD,Exeter District,1392278500.0,292816.2,93317.1,9480721,75374454,09,48,0721,Retail,"Household, office, leisure and garden",Domestic appliances
Zuleika Robertson,,,,Exeter,Prospect Park,15.5,,6,Devon,EX4 6NA,Exeter District,1392430162.0,292887.0,93668.0,5280372,95710941,05,28,0372,Education and health,Health practitioners and establishments,Mental health centres and practitioners
Plymouth & Exeter Methodist District,Methodist,,,Exeter,,15.2,www.methodist.org.uk,Velwell Road,Devon,EX4 4LE,Exeter District,1392211624.0,291751.0,93326.8,6350816,95761307,06,35,0816,Public infrastructure,Organisations,Charitable organisations
International Barbers,,,,Exeter,Blackboy Road,16.7,,14,Devon,EX4 6SW,Exeter District,1392436037.0,292896.0,93313.0,2100156,160759173,02,10,0156,Commercial services,"Personal, consumer and other services",Hair and beauty services
Electricity Sub Station,,,,,,30.8,,,Devon,EX4,Exeter District,,291268.0,93518.0,6340433,63999693,06,34,0433,Public infrastructure,Infrastructure and facilities,Electrical features
Electricity Sub Station,,,,,,30.9,,,Devon,EX4,Exeter District,,292406.0,93585.0,6340433,63999698,06,34,0433,Public infrastructure,Infrastructure and facilities,Electrical features
Electricity Sub Station,,,,,,27.2,,,Devon,EX4,Exeter District,,292569.0,93327.0,6340433,63999723,06,34,0433,Public infrastructure,Infrastructure and facilities,Electrical features
Electricity Sub Station,,,,,,64.5,,,Devon,EX4,Exeter District,,291550.0,93439.0,6340433,63999731,06,34,0433,Public infrastructure,Infrastructure and facilities,Electrical features
Electricity Sub Station,,,,,,44.4,,,Devon,EX4,Exeter District,,292778.0,93390.0,6340433,63999779,06,34,0433,Public infrastructure,Infrastructure and facilities,Electrical features
Electricity Sub Station,,,,,,2.2,,,Devon,EX4,Exeter District,,292803.0,93309.0,6340433,63999794,06,34,0433,Public infrastructure,Infrastructure and facilities,Electrical features
Electricity Sub Station,,,,,,4.8,,,Devon,EX4,Exeter District,,292198.0,93303.0,6340433,64066862,06,34,0433,Public infrastructure,Infrastructure and facilities,Electrical features
Electricity Sub Station,,,,,,5.8,,,Devon,EX4,Exeter District,,292438.0,93741.0,6340433,64070563,06,34,0433,Public infrastructure,Infrastructure and facilities,Electrical features
Letter Box,,,,,,7.7,,,Devon,EX4,Exeter District,,291402.0,93574.0,6340457,68587204,06,34,0457,Public infrastructure,Infrastructure and facilities,Letter boxes
Tennis Courts,,,,,,44.4,,,Devon,EX4,Exeter District,,292372.0,93983.0,4240305,68658640,04,24,0305,Sport and entertainment,Sports complex,Tennis facilities
Electricity Sub Station,,,,,,11.5,,,Devon,EX4,Exeter District,,292355.4,93341.4,6340433,159924724,06,34,0433,Public infrastructure,Infrastructure and facilities,Electrical features
Gas Governor,,,,,,23.7,,,Devon,EX4,Exeter District,,291753.6,93919.5,6340437,159961782,06,34,0437,Public infrastructure,Infrastructure and facilities,Gas features
Electricity Sub Station,,,,,,12.2,,,Devon,EX4,Exeter District,,291293.7,93391.2,6340433,159903096,06,34,0433,Public infrastructure,Infrastructure and facilities,Electrical features
St Davids the Shop,,,,Exeter,Isambard Parade,18.2,,5,Devon,EX4 4BX,Exeter District,,291209.0,93287.8,9470699,159227798,09,47,0699,Retail,"Food, drink and multi item retail",Convenience stores and independent
Exeter City Football Club,,,,Exeter,St. James Road,26.8,,St James Park,Devon,EX4 6PU,Exeter District,,292748.0,93390.0,4240302,157515259,04,24,0302,Sport and entertainment,Sports complex,"Sports grounds, stadia and pitches"
Allen Lane Orange Plaque,,Orange,Plaque Type,Exeter,,18.3,openplaques.org/plaques/50549,Exeter St Davids Railway Station,Devon,EX4,Exeter District,,291175.0,93322.0,3200269,158059051,03,20,0269,Attractions,Tourism,Unspecified and other attractions
Paypoint Ltd,,,,Exeter,Victoria Street,11.6,,38,Devon,EX4 6JQ,Exeter District,,292616.1,93785.4,2090141,126728874,02,09,0141,Commercial services,Legal and financial,Cash machines
Bus Stop (Sidwell Street),,dvndmjpd,SMS Number,,,4.9,,,Devon,EX4,Exeter District,,292378.0,92902.0,10590732,21841119,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (High Street),,dvndmjdj,SMS Number,,,2.0,,,Devon,EX4,Exeter District,,292246.0,92834.0,10590732,21841122,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Holloway Street),,dvndmjmd,SMS Number,,,2.0,,,Devon,EX2,Exeter District,,292262.0,92122.0,10590732,21841327,10,59,0732,Transport,Bus transport,Bus stops
Exeter Coach Station,,dvndmpdj,SMS Number,,,31.3,,,Devon,EX1,Exeter District,,292528.0,92915.0,10590732,21841333,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (College Road),,dvndmtam,SMS Number,,,5.3,,,Devon,EX1,Exeter District,,292937.0,92611.0,10590732,21841389,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Mount Radford),,dvndmptw,SMS Number,,,5.2,,,Devon,EX1,Exeter District,,292835.0,92411.0,10590732,21841391,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Mount Radford),,dvndmptp,SMS Number,,,0.6,,,Devon,EX1,Exeter District,,292839.0,92406.0,10590732,21841392,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Wonford Road),,dvndmpma,SMS Number,,,22.3,,,Devon,EX2,Exeter District,,292787.0,92155.0,10590732,21841393,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Sidwell Street),,dvndmpgj,SMS Number,,,4.7,,,Devon,EX4,Exeter District,,292522.0,93051.0,10590732,21841204,10,59,0732,Transport,Bus transport,Bus stops
Bus Station,,dvndmjtw,SMS Number,,,28.2,,,Devon,EX1,Exeter District,,292467.0,92862.0,10590732,21842689,10,59,0732,Transport,Bus transport,Bus stops
Bus Station,,dvndmjwa,SMS Number,,,27.9,,,Devon,EX1,Exeter District,,292469.0,92864.0,10590732,21842690,10,59,0732,Transport,Bus transport,Bus stops
Bus Station,,dvndmjwd,SMS Number,,,27.6,,,Devon,EX1,Exeter District,,292471.0,92866.0,10590732,21842691,10,59,0732,Transport,Bus transport,Bus stops
Bus Station,,dvndmjwg,SMS Number,,,28.1,,,Devon,EX1,Exeter District,,292473.0,92867.0,10590732,21842692,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Paris Street),,dvndmjmt,SMS Number,,,4.2,,,Devon,EX1,Exeter District,,292334.0,92852.0,10590732,21842805,10,59,0732,Transport,Bus transport,Bus stops
Barnfield Hill Surgery,,,,Exeter,Barnfield Hill,29.6,,10-12,Devon,EX1 1SR,Exeter District,1392432761.0,292806.0,92646.0,5280369,16431172,05,28,0369,Education and health,Health practitioners and establishments,Doctors surgeries
Bus Stop (Odeon Cinema),,dvngjgjw,SMS Number,,,2.8,,,Devon,EX4,Exeter District,,292704.0,93204.0,10590732,31264404,10,59,0732,Transport,Bus transport,Bus stops
Exeter Primary Care Limited,,,,Exeter,Barnfield Hill,29.6,,10-12,Devon,EX1 1SR,Exeter District,1392432761.0,292806.0,92646.0,2100167,127000512,02,10,0167,Commercial services,"Personal, consumer and other services","Headquarters, administration and central"
Bus Stop (Sidwell Street),,dvngtgpw,SMS Number,,,4.7,,,Devon,EX4,Exeter District,,292535.0,93063.0,10590732,134439852,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Sidwell Street),,dvngtgta,SMS Number,,,6.3,,,Devon,EX4,Exeter District,,292555.0,93083.0,10590732,134439853,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Paris Street),,dvngtgwa,SMS Number,,,3.1,,,Devon,EX1,Exeter District,,292534.0,92825.0,10590732,134440121,10,59,0732,Transport,Bus transport,Bus stops
Belmont Road,,,,Exeter,,11.0,,Belmont Road,Devon,EX1 2HF,Exeter District,,292810.0,93182.0,10540736,41264573,10,54,0736,Transport,Road and rail,Parking
King William Street,,,,Exeter,,16.5,,King William Street,Devon,EX4 6PD,Exeter District,,292405.0,93071.0,10540736,107578833,10,54,0736,Transport,Road and rail,Parking
Wi-Fi Hotspot (O2 Limited),,,,Exeter,Bedford Street,10.2,,24,Devon,EX1 1GJ,Exeter District,,292219.0,92656.0,6340802,105351973,06,34,0802,Public infrastructure,Infrastructure and facilities,Wi-Fi hotspots
Domino's Pizza,Domino's Pizza,,,Exeter,Sidwell Street,19.1,www.dominos.co.uk,49,Devon,EX4 6NS,Exeter District,1392425252.0,292561.2,93105.8,1020018,48007667,01,02,0018,"Accommodation, eating and drinking",Eating and drinking,Fast food and takeaway outlets
The Margaret Jackson Centre,,,,Exeter,Barnfield Hill,17.6,www.margaretjackson.org.uk,4,Devon,EX1 1SR,Exeter District,1392256711.0,292750.6,92617.6,5290358,48817102,05,29,0358,Education and health,Health support services,Counselling and advice services
The Oddfellows,,,,Exeter,New North Road,12.5,www.theoddfellowsbar.co.uk,60,Devon,EX4 4EP,Exeter District,1392209050.0,292218.0,93013.0,1020034,48064274,01,02,0034,"Accommodation, eating and drinking",Eating and drinking,"Pubs, bars and inns"
Clifton Inn Ltd,,,,Exeter,Clifton Road,22.8,www.thecliftoninn.co.uk,1,Devon,EX1 2BR,Exeter District,1392273527.0,292791.3,92886.5,1020034,48073215,01,02,0034,"Accommodation, eating and drinking",Eating and drinking,"Pubs, bars and inns"
Topshop,Topshop,,,Exeter,Eastgate,55.3,www.topshop.com/?geoip=home,11,Devon,EX1 1GB,Exeter District,1392431111.0,292310.9,92800.1,9460656,48734586,09,46,0656,Retail,Clothing and accessories,Clothing
Saunders,,,,Exeter,Clifton Road,17.9,,30,Devon,EX1 2BW,Exeter District,1392258086.0,292894.0,92996.0,9470699,48791305,09,47,0699,Retail,"Food, drink and multi item retail",Convenience stores and independent
Exeter Sewing Machine Co,,,,Exeter,Heavitree Road,15.7,www.exetersewing.co.uk,7,Devon,EX1 2LD,Exeter District,1392275660.0,292713.0,92810.0,9480675,48805173,09,48,0675,Retail,"Household, office, leisure and garden","Carpets, rugs, soft furnishings and"
Best Tyres,,,,Exeter,Verney Street,21.4,,2,Devon,EX1 2AW,Exeter District,1392411100.0,292704.0,93059.0,9490698,48902042,09,49,0698,Retail,Motoring,Vehicle parts and accessories
Exeter Pet & Garden,,,,Exeter,Sidwell Street,23.0,,148,Devon,EX4 6RT,Exeter District,1392279658.0,292562.0,93050.0,9480691,48858550,09,48,0691,Retail,"Household, office, leisure and garden","Pets, supplies and services"
Exeter's Underground Passages,,,,Exeter,Paris Street,45.3,www.exeter.gov.uk/passages,2,Devon,EX1 1GA,Exeter District,1392665887.0,292362.0,92814.4,3200267,49759437,03,20,0267,Attractions,Tourism,"Sightseeing, tours, viewing and visitor centres"
Caroline Charles,Caroline Charles,,,Exeter,Roman Walk,45.6,www.carolinecharles.co.uk,2,Devon,EX1 1GN,Exeter District,1392424645.0,292285.0,92721.0,9460656,49874520,09,46,0656,Retail,Clothing and accessories,Clothing
A S C Finance for Business,A S C Finance for Business,,,Exeter,Southernhay West,20.8,www.asc.co.uk,20,Devon,EX1 1PR,Exeter District,1392423600.0,292296.0,92588.0,2090147,54739803,02,09,0147,Commercial services,Legal and financial,Financial advice services
Crosse & Crosse Solicitors LLP,,,,Exeter,Southernhay West,18.8,www.crosse.co.uk,Crosse and Crosse 13-14,Devon,EX1 1PL,Exeter District,1392258451.0,292285.0,92541.0,2090154,54775539,02,09,0154,Commercial services,Legal and financial,"Solicitors, advocates and notaries public"
The Family Law Co,,,,Exeter,Southernhay Gardens,13.8,www.thefamilylawco.com,Oriel House,Devon,EX1 1NP,Exeter District,1392421777.0,292367.2,92420.7,2090154,54773896,02,09,0154,Commercial services,Legal and financial,"Solicitors, advocates and notaries public"
Hawksmoor Investment Management,,,,Exeter,Dix's Field,11.8,www.hawksmoorim.co.uk,Sterling Court 17,Devon,EX1 1QA,Exeter District,1392410180.0,292480.0,92708.0,2090147,54785507,02,09,0147,Commercial services,Legal and financial,Financial advice services
Knight Frank,Knight Frank,,,Exeter,Southernhay East,20.9,www.knightfrank.co.uk,19,Devon,EX1 1QD,Exeter District,1392423111.0,292390.0,92669.0,2110190,54892055,02,11,0190,Commercial services,Property and development services,Property sales
Assinder Turnham & Co Ltd,,,,Exeter,Southernhay West,13.8,www.assinderturnham.co.uk,6,Devon,EX1 1JG,Exeter District,1392499091.0,292272.8,92490.0,2110195,54923165,02,11,0195,Commercial services,Property and development services,Property information services
Drew Pearce,,,,Exeter,Cathedral Close,51.9,www.drewpearce.co.uk,14,Devon,EX1 1HA,Exeter District,1392201748.0,292256.0,92590.0,2110195,54950349,02,11,0195,Commercial services,Property and development services,Property information services
Winkworth Estate Agents,,,,Exeter,Southernhay East,16.0,www.winkworth.co.uk,25,Devon,EX1 1QP,Exeter District,1392271177.0,292374.0,92595.8,2110192,54931130,02,11,0192,Commercial services,Property and development services,Property letting
Victim Support Within Magistrates Court,Victim Support,,,Exeter,,40.6,www.victimsupport.org.uk,Heavitree Road,Devon,EX1,Exeter District,3003321000.0,293000.0,92714.0,5290358,68725694,05,29,0358,Education and health,Health support services,Counselling and advice services
Kenjo Laundrette & Dry Cleaners,,,,Exeter,Sidwell Street,18.7,,139,Devon,EX4 6RT,Exeter District,1392259527.0,292598.0,93088.0,2100158,54979024,02,10,0158,Commercial services,"Personal, consumer and other services",Cleaning services
Unite Group Plc,Unite,,,Exeter,Northernhay Place,13.7,www.unite-group.co.uk,Northernhay House,Devon,EX4 3RY,Exeter District,1392433493.0,292226.6,92963.0,2110192,80815476,02,11,0192,Commercial services,Property and development services,Property letting
William Hill,William Hill,,,Exeter,Sidwell Street,21.9,www.williamhill.co.uk,162,Devon,EX4 6RH,Exeter District,8705181715.0,292478.1,92975.6,4220279,80837340,04,22,0279,Sport and entertainment,Gambling,Bookmakers
Kirk Hills Chartered Accountants,,,,Exeter,Barnfield Crescent,44.0,,5,Devon,EX1 1QT,Exeter District,1392474303.0,292456.5,92642.5,2090135,80845020,02,09,0135,Commercial services,Legal and financial,Accountants and auditors
Insideout,,,,Exeter,Bampfylde Lane,27.8,www.insideouthome.co.uk,1,Devon,EX1 1GQ,Exeter District,1392423993.0,292224.1,92786.7,9480717,85526493,09,48,0717,Retail,"Household, office, leisure and garden",Gifts and cards
Friends Meeting House,Quakers Religious Society Of Friends,Quaker (Christian),Religion,Exeter,Wynards Lane,28.3,www.quaker.org.uk,The Meeting House,Devon,EX2 4HU,Exeter District,1363773000.0,292383.9,92352.8,6340459,68783691,06,34,0459,Public infrastructure,Infrastructure and facilities,Places of worship
W B W Solicitors,W B W Solicitors,,,Exeter,Barnfield Road,22.6,www.wbw.co.uk,The Forum,Devon,EX1 1QR,Exeter District,1392274126.0,292459.0,92548.0,2090154,75327734,02,09,0154,Commercial services,Legal and financial,"Solicitors, advocates and notaries public"
Highlands Care Home,,,,Exeter,St. Leonards Road,27.8,www.highlandscarehome.co.uk,54-56,Devon,EX2 4LS,Exeter District,1392431122.0,292659.0,92095.0,5280373,75489216,05,28,0373,Education and health,Health practitioners and establishments,Nursing and residential care homes
Giraffe,Giraffe,Restaurant,Restaurant Type,Exeter,Princesshay,55.9,www.giraffe.net,3,Devon,EX1 1GE,Exeter District,1392494222.0,292324.4,92777.1,1020043,75331833,01,02,0043,"Accommodation, eating and drinking",Eating and drinking,Restaurants
Naomi J Ryan Estate Agents,,,,Exeter,Southernhay West,20.4,www.naomijryan.co.uk,18,Devon,EX1 1PJ,Exeter District,1392215283.0,292292.0,92572.0,2110190,75326024,02,11,0190,Commercial services,Property and development services,Property sales
Specsavers Hearcare,Specsavers,,,Exeter,High Street,20.4,www.specsavers.co.uk/hearing,Unit 4 247,Devon,EX4 3PZ,Exeter District,1392210604.0,292225.0,92846.5,7370478,75435298,07,37,0478,Manufacturing and production,Consumer products,Disability and mobility equipment
Heavitree Road Chiropractic Centre,,,,Exeter,Heavitree Road,13.3,www.hrcc.co.uk,15,Devon,EX1 2LD,Exeter District,1392421700.0,292735.8,92797.3,5280345,75442440,05,28,0345,Education and health,Health practitioners and establishments,Physical therapy
G A P Personnel,Gap Personnel,,,Exeter,Magdalen Road,13.6,www.gap-personnel.com,Zenith House,Devon,EX2 4TE,Exeter District,1392273665.0,292935.2,92363.3,2050078,85619524,02,05,0078,Commercial services,Employment and career agencies,Employment agencies
Gas Appliance Specialist,,,,Exeter,Newtown Close,9.3,www.gasappliancespecialist.co.uk,4,Devon,EX1 2EU,Exeter District,7808176342.0,292916.0,92954.0,2030056,91447235,02,03,0056,Commercial services,Construction services,Plumbing and heating services
Northwood,Northwood,,,Exeter,Southernhay West,13.5,www.northwooduk.com,5,Devon,EX1 1JG,Exeter District,1392435130.0,292268.1,92476.8,2110190,85626304,02,11,0190,Commercial services,Property and development services,Property sales
Swarovski UK Ltd,Swarovski,,,Exeter,Princesshay,58.1,www.swarovski.com/web_gb/en/index,26,Devon,EX1 1GE,Exeter District,1392436355.0,292269.6,92782.0,9460659,85643028,09,46,0659,Retail,Clothing and accessories,Jewellery and fashion accessories
Castle Galleries,Castle Galleries,,,Exeter,Roman Walk,38.6,www.castlegalleries.com,7,Devon,EX1 1GN,Exeter District,1392425242.0,292282.7,92666.5,9480712,91354751,09,48,0712,Retail,"Household, office, leisure and garden",Art and antiques
Lotus Loft,,,,Exeter,Southernhay East,16.0,www.lotus-loft.co.uk,25,Devon,EX1 1QP,Exeter District,1392437997.0,292374.0,92595.8,5280330,96547637,05,28,0330,Education and health,Health practitioners and establishments,"Alternative, natural and complementary"
Nightstop Devon,,,,Exeter,King William Street,20.0,,3 Wat Tyler House,Devon,EX4 6PD,Exeter District,1392430228.0,292406.0,93080.0,6350816,104554547,06,35,0816,Public infrastructure,Organisations,Charitable organisations
Hotel Duvin,,,,Exeter,Magdalen Street,29.4,www.hotelduvin.com,,Devon,EX2 4HY,Exeter District,1392790120.0,292327.0,92269.0,1010006,104584493,01,01,0006,"Accommodation, eating and drinking",Accommodation,"Hotels, motels, country houses and inns"
Miss Selfridge,Miss Selfridge,,,Exeter,Eastgate,55.3,www.missselfridge.com,11,Devon,EX1 1GB,Exeter District,1392276862.0,292310.9,92800.1,9460656,108359808,09,46,0656,Retail,Clothing and accessories,Clothing
Stags,Stags,,,Exeter,Southernhay West,20.5,www.stags.co.uk,21,Devon,EX1 1PR,Exeter District,1392255202.0,292298.0,92594.0,2110190,108322509,02,11,0190,Commercial services,Property and development services,Property sales
Joules,Joules,,,Exeter,,43.9,www.joules.com,Unit Su19,Devon,EX1 1GE,Exeter District,1392436807.0,292222.4,92728.6,9460656,124021658,09,46,0656,Retail,Clothing and accessories,Clothing
E D P Drug & Alcohol Services,Devon Drug Service E D P,,,Exeter,New North Road,14.2,www.addaction.org.uk,Brittany House,Devon,EX4 4EP,Exeter District,1392492360.0,292260.0,92941.0,5290358,125707749,05,29,0358,Education and health,Health support services,Counselling and advice services
The Salvation Army,The Salvation Army,,,Exeter,Howell Road,20.1,www.salvationarmy.org.uk,62,Devon,EX4 4EY,Exeter District,1392413843.0,292260.0,93143.0,1010005,125698874,01,01,0005,"Accommodation, eating and drinking",Accommodation,Hostels and refuges for the homeless
Label Makers,,,,Exeter,Southernhay Gardens,16.6,www.labelmakers-exeter.co.uk,Senate Court,Devon,EX1 1UG,Exeter District,1392458003.0,292440.0,92445.8,7420609,125808174,07,42,0609,Manufacturing and production,Industrial products,"Stationery, stamps, tags and labels"
Lean Marketing,,,,Exeter,Southernhay Gardens,16.7,www.lean-marketing.co.uk,The Senate,Devon,EX1 1UG,Exeter District,8455195249.0,292440.0,92446.0,2080127,125806455,02,08,0127,Commercial services,"IT, advertising, marketing and media services",Marketing services
Jo Malone,Jo Malone,,,Exeter,Sidwell Street,40.3,www.jomalone.co.uk,1,Devon,EX4 6NN,Exeter District,3701925361.0,292331.0,92928.0,9480677,127735974,09,48,0677,Retail,"Household, office, leisure and garden","Cosmetics, toiletries, perfumes and"
Smiggle,Smiggle,,,Exeter,High Street,22.5,www.smiggle.co.uk,11,Devon,EX4 3LF,Exeter District,1392213040.0,292221.0,92791.0,9480725,129120269,09,48,0725,Retail,"Household, office, leisure and garden",Stationery and office supplies
Children's Hospice South West,Childrens Hospice South West,,,Exeter,Sidwell Street,18.4,www.chsw.org.uk,42,Devon,EX4 6NS,Exeter District,1392437612.0,292534.5,93080.8,9480714,127739531,09,48,0714,Retail,"Household, office, leisure and garden",Charity shops
Traveline,,,,Exeter,Southernhay Gardens,16.7,,The Senate,Devon,EX1 1UG,Exeter District,8712002233.0,292440.0,92446.0,7420599,145397010,07,42,0599,Manufacturing and production,Industrial products,Published goods
Air Marketing Group,,,,Exeter,Barnfield Road,22.6,www.air-marketing.co.uk,The Forum,Devon,EX1 1QR,Exeter District,3452413038.0,292459.0,92548.0,2080127,146522764,02,08,0127,Commercial services,"IT, advertising, marketing and media services",Marketing services
Lush Retail Ltd,Lush,,,Exeter,Eastgate,31.9,www.lush.co.uk,Unit 3,Devon,EX1 1GB,Exeter District,1392438821.0,292287.0,92826.6,9480677,146528081,09,48,0677,Retail,"Household, office, leisure and garden","Cosmetics, toiletries, perfumes and"
Two Seasons,Two Seasons,,,Exeter,Princesshay,54.2,www.twoseasons.co.uk,28,Devon,EX1 1GE,Exeter District,1392271010.0,292268.2,92785.7,9480686,131505766,09,48,0686,Retail,"Household, office, leisure and garden","Hobby, sports and pastime products"
Poundland,Poundland,,,Exeter,Sidwell Street,34.7,www.poundland.co.uk,14-15,Devon,EX4 6NN,Exeter District,1392279474.0,292366.1,92945.0,9480701,131527622,09,48,0701,Retail,"Household, office, leisure and garden",Discount stores
Finance Department,,,,Exeter,Barnfield Road,21.3,www.finance-department.co.uk,Devon Probation Service 3-5,Devon,EX1 1RD,Exeter District,1392495483.0,292494.0,92587.0,2090135,129845306,02,09,0135,Commercial services,Legal and financial,Accountants and auditors
Otto Physiotherapy,,,,Exeter,Denmark Road,18.6,www.ottophysio.co.uk,34,Devon,EX1 1SE,Exeter District,1392247668.0,292631.1,92478.6,5280345,129832925,05,28,0345,Education and health,Health practitioners and establishments,Physical therapy
Infomentor Ltd,,,,Exeter,New North Road,14.2,www.infomentor.co.uk,Second Floor Brittany House,Devon,EX4 4EP,Exeter District,8456803681.0,292260.0,92941.0,2080117,149607317,02,08,0117,Commercial services,"IT, advertising, marketing and media services",Computer systems services
Kiterise,,,,Exeter,Barnfield Crescent,40.0,www.kiterise.com,4,Devon,EX1 1QT,Exeter District,1392949011.0,292446.0,92643.0,5280365,146516419,05,28,0365,Education and health,Health practitioners and establishments,Clinics and health centres
Exe Coffee Roasters,,,,Exeter,Heavitree Road,12.9,www.execoffeeroasters.co.uk,19,Devon,EX1 2LD,Exeter District,1392271549.0,292740.7,92794.7,1020013,149624388,01,02,0013,"Accommodation, eating and drinking",Eating and drinking,"Cafes, snack bars and tea rooms"
Regionally,,,,Exeter,Southernhay Gardens,16.7,,The Senate,Devon,EX1 1UG,Exeter District,8000484787.0,292440.0,92446.0,2090147,158336111,02,09,0147,Commercial services,Legal and financial,Financial advice services
Exeter Data Recovery,,,,Exeter,,16.7,www.exeterdatarecovery.co.uk,The Senate Southernhay Gardens,Devon,EX1 1UG,Exeter District,1392340355.0,292440.0,92446.0,2080117,159611642,02,08,0117,Commercial services,"IT, advertising, marketing and media services",Computer systems services
